City;Latitude;Longitude;Country;Population
Kandahar;316100;656949;Afghanistan;715542
Jalalabad;344415;704361;Afghanistan;597971
Herat;343300;621700;Afghanistan;481009
Mazar-e Sharif;367000;671000;Afghanistan;458151
Kondoz;367280;688725;Afghanistan;259809
Baghlan;361393;686993;Afghanistan;218748
Lashkar Gah;315830;643600;Afghanistan;201546
Meymaneh;359302;647701;Afghanistan;199795
Balkh;367501;668997;Afghanistan;179969
Ghazni;335633;684178;Afghanistan;141000
Gardiz;336001;692146;Afghanistan;103601
Sheberghan;366580;657383;Afghanistan;93241
Farah;323917;620968;Afghanistan;73647
Andkhvoy;369317;651015;Afghanistan;71730
Feyzabad;371298;705792;Afghanistan;64704
Taloqan;367300;695400;Afghanistan;64256
Bamian;348211;675210;Afghanistan;61863
Pol-e Khomri;359511;687011;Afghanistan;56369
Charikar;350183;691679;Afghanistan;53676
Zaranj;311120;618870;Afghanistan;49851
Asadabad;348660;711500;Afghanistan;48400
Mayda Shahr;344500;688000;Afghanistan;35008
Aybak;362610;680400;Afghanistan;24000
Baraki Barak;339667;689667;Afghanistan;22305
Karokh;344868;625918;Afghanistan;17484
Mehtar Lam;346500;701667;Afghanistan;17345
Chaghcharan;345167;652500;Afghanistan;15000
Zareh Sharan;328500;684167;Afghanistan;13737
Qalat;321123;668868;Afghanistan;12191
Tarin Kowt;326333;658667;Afghanistan;10000
Mahmud-E Eraqi;350167;693333;Afghanistan;7407
Qala i Naw;349830;631333;Afghanistan;2997
Tirana;413275;198189;Albania;895350
Elbasan;411215;200838;Albania;165010
Shkoder;420685;195188;Albania;155767
Durres;413178;194482;Albania;142432
Vlore;404774;194982;Albania;89546
Fier;407300;195730;Albania;82297
Korce;406167;207667;Albania;58259
Berat;407100;199720;Albania;46866
Lushnje;409400;197160;Albania;41469
Pogradec;409000;206640;Albania;40000
Gjirokaster;400790;201490;Albania;23437
Kruje;415190;197970;Albania;21286
Lezhe;417880;196540;Albania;18695
Kukes;420830;204340;Albania;17832
Burrel;416260;200160;Albania;15405
Sarande;398770;200000;Albania;15147
Peshkopi;416833;204333;Albania;14848
Corovode;405167;202333;Albania;14046
Librazhd;412000;203667;Albania;12691
Tepelene;402833;200333;Albania;11955
Gramsh;408667;202000;Albania;11556
Permet;402340;203520;Albania;10686
Rreshen;417833;198167;Albania;10064
Bajram Curri;423333;200833;Albania;7967
Erseke;403333;206833;Albania;7890
Puke;420333;198833;Albania;6495
Algiers;367631;30506;Algeria;3354000
Oran;357100;-6200;Algeria;798000
Constantine;363600;65999;Algeria;605179
Blida;364203;28300;Algeria;511348
Annaba;369200;77600;Algeria;503524
Chlef;361704;13200;Algeria;449167
Bejaia;367604;50700;Algeria;384937
Batna;355700;61700;Algeria;280798
Setif;361800;54000;Algeria;274744
Tlimcen;348904;-13200;Algeria;229777
Skikda;368804;69000;Algeria;225181
Sidi bel Abbes;351903;-6400;Algeria;208604
Biskra;348600;57300;Algeria;202103
Mostaganem;359404;900;Algeria;188354
Tiarat;353804;13200;Algeria;184195
El Oued;333704;68600;Algeria;177497
Ouargla;319700;53400;Algeria;176271
Tebessa;354104;81200;Algeria;171742
Djelfa;346800;32500;Algeria;170901
M'sila;357000;45450;Algeria;150000
Jijel;368220;57660;Algeria;148000
Medea;362704;27700;Algeria;147707
Tizi-Ouzou;368000;40333;Algeria;144000
Bechar;316111;-22300;Algeria;143382
Saida;348404;1400;Algeria;142213
Bordj Bou Arreridj;360590;46300;Algeria;140000
Souk Ahras;362904;79500;Algeria;134947
Touggourt;331000;60600;Algeria;133954
Ghardaia;324900;36700;Algeria;125480
Guelma;364660;74280;Algeria;123590
Laghouat;338100;28800;Algeria;113872
Bouira;363805;39000;Algeria;110144
Mascara;354004;1400;Algeria;108230
Oum el Bouaghi;358500;71500;Algeria;100821
Tamanrasset;227850;55228;Algeria;76000
El Bayadh;336904;10100;Algeria;67413
Sefra;327604;-5799;Algeria;63420
Adrar;278700;-2900;Algeria;56910
Timimoun;292365;2700;Algeria;49237
I-n-Salah;272166;24666;Algeria;49223
Reggane;267000;1666;Algeria;32974
El Golea;305666;28833;Algeria;32049
Tindouf;276742;-81478;Algeria;18270
Hassi Messaoud;317023;60545;Algeria;18124
Abadla;310171;-27333;Algeria;14364
Illizi;264834;84666;Algeria;7957
Beni Ounif;320493;-12514;Algeria;5628
In Amguel;236939;51647;Algeria;3030
Djanet;245529;94823;Algeria;666
I-n-Amenas;280503;95500;Algeria;216
Pago Pago;-142740;-1707046;American Samoa;12576
Andorra;425000;15165;Andorra;53998
Luanda;-88383;132344;Angola;5172900
Huambo;-127500;157600;Angola;1100000
Lobito;-123700;135412;Angola;207932
Benguela;-125783;134072;Angola;151226
Namibe;-151900;121600;Angola;132900
Malanje;-95400;163400;Angola;125856
Lubango;-149100;134900;Angola;125632
Kuito;-123800;169400;Angola;114286
Cabinda;-55596;121900;Angola;91791
Capenda-Camulemba;-94196;184300;Angola;80000
Soyo;-61296;123700;Angola;67491
Mbanza-Congo;-62696;142400;Angola;60182
Uige;-76200;150500;Angola;60008
Saurimo;-96596;203900;Angola;41316
Tombua;-158000;118600;Angola;40000
Sumbe;-112100;138500;Angola;33277
Lucapa;-84196;207400;Angola;31041
Mavinga;-157895;203600;Angola;30000
Caxito;-85795;136600;Angola;28224
Luena;-117900;199000;Angola;21115
Nzeto;-72296;128600;Angola;21059
Camacupa;-120196;174700;Angola;19828
Luau;-107095;222300;Angola;18465
Ambriz;-78550;131250;Angola;17000
Menongue;-146666;177000;Angola;13030
Camabatela;-81896;153700;Angola;12837
Waku Kungo;-113595;151200;Angola;12069
Dundo;-73800;208300;Angola;11985
Songo;-73496;148500;Angola;10579
Ondjiva;-170696;157300;Angola;10169
Quibala;-107296;149800;Angola;8915
Ndalatando;-92995;149100;Angola;8144
Cubal;-130396;142400;Angola;4837
Dondo;-96900;144300;Angola;2353
Muconda;-105996;213200;Angola;2324
Chibemba;-157496;140800;Angola;1502
Chibia;-151896;136900;Angola;1411
Cangamba;-136996;198600;Angola;1307
Cacolo;-101496;192600;Angola;984
Calulo;-99996;149000;Angola;795
Calucinga;-113196;162000;Angola;531
Chitado;-173196;139200;Angola;500
Xangongo;-167400;149700;Angola;447
Cazombo;-118896;229000;Angola;298
Quipungo;-148295;145500;Angola;186
Luiana;-173695;230000;Angola;150
Cuito Caunavale;-151596;191700;Angola;149
Mucusso;-180195;214300;Angola;100
Saint John's;171180;-618500;Antigua And Barbuda;35499
Buenos Aires;-346025;-583975;Argentina;12795000
Cordoba;-314000;-641823;Argentina;1452000
Rosario;-329511;-606663;Argentina;1203000
Mendoza;-328833;-688166;Argentina;893000
Tucuman;-268160;-652166;Argentina;830000
La Plata;-349096;-579600;Argentina;694253
Mar del Plata;-380000;-575800;Argentina;555897
Salta;-247834;-654166;Argentina;512686
Santa Fe;-316239;-606900;Argentina;489505
San Juan;-315500;-685200;Argentina;447048
San Luis;-333000;-663500;Argentina;432310
Resistencia;-274600;-589900;Argentina;387158
Posadas;-273578;-558851;Argentina;357119
Santiago del Estero;-277833;-642667;Argentina;354692
Corrientes;-274900;-588100;Argentina;340823
San Salvador de Jujuy;-241833;-653000;Argentina;305891
Bahia Blanca;-387400;-622650;Argentina;281536
Parana;-317333;-605333;Argentina;262295
Neuquen;-389500;-680600;Argentina;242092
Formosa;-261728;-581828;Argentina;221383
Catamarca;-284700;-657800;Argentina;188812
La Rioja;-294100;-668500;Argentina;162620
Rio Cuarto;-331300;-643500;Argentina;153757
Concordia;-313896;-580300;Argentina;145210
Comodoro Rivadavia;-458700;-675000;Argentina;140850
San Nicolas;-333300;-602400;Argentina;127742
San Martin;-330700;-684900;Argentina;117399
Santa Rosa;-366200;-643000;Argentina;111424
San Rafael;-346000;-683333;Argentina;109163
Tandil;-373200;-591500;Argentina;104325
San Carlos de Bariloche;-411500;-713000;Argentina;95394
Trelew;-432500;-653300;Argentina;93442
Villa Maria;-324100;-632600;Argentina;92453
Reconquista;-291395;-596500;Argentina;90184
Zarate;-340896;-590400;Argentina;88781
Rafaela;-312500;-615000;Argentina;88713
Pergamino;-338996;-605700;Argentina;87652
Olavarria;-369000;-603300;Argentina;86320
Rio Gallegos;-516333;-692166;Argentina;85700
Junin;-345846;-609589;Argentina;85007
Presidencia Roque Saenz Pena;-267900;-604500;Argentina;81879
Lujan;-345796;-591100;Argentina;81749
Campana;-341600;-589600;Argentina;81612
Necochea;-385600;-587500;Argentina;80478
Gualeguaychu;-330200;-585200;Argentina;78676
San Ramon de la Nueva Oran;-231400;-643200;Argentina;74059
General Roca;-390200;-676100;Argentina;73212
Venado Tuerto;-337496;-619700;Argentina;72340
Goya;-291400;-592700;Argentina;72304
Villa Carlos Paz;-314200;-645000;Argentina;69451
Concepcion del Uruguay;-324800;-582400;Argentina;67895
Las Heras;-328250;-688017;Argentina;66663
Puerto Madryn;-427700;-650400;Argentina;64555
Tartagal;-225500;-638100;Argentina;60819
Viedma;-408000;-630000;Argentina;59122
San Francisco;-314300;-620900;Argentina;59062
San Pedro;-242196;-648700;Argentina;58430
Ushuaia;-547900;-683100;Argentina;58028
Punta Alta;-388800;-620800;Argentina;57209
General Pico;-356596;-637700;Argentina;57029
Chivilcoy;-349000;-600400;Argentina;54514
Azul;-367796;-598700;Argentina;53941
Rio Tercero;-321796;-641200;Argentina;53389
Mercedes;-346600;-594400;Argentina;52949
Mercedes;-336896;-654700;Argentina;49345
Libertador General San Martin;-238195;-647900;Argentina;49267
Cutral Co;-389400;-692400;Argentina;47814
San Lorenzo;-281200;-587700;Argentina;47626
Tres Arroyos;-383700;-602699;Argentina;47136
Villa Constitucion;-332300;-603500;Argentina;44271
Alta Gracia;-316600;-644300;Argentina;40384
Bell Ville;-326000;-626800;Argentina;35105
Nueve de Julio;-354460;-608900;Argentina;34718
Chacabuco;-346500;-604900;Argentina;34587
Gualeguay;-331500;-593400;Argentina;33120
Rio Grande;-537914;-676990;Argentina;31095
Mercedes;-291796;-580800;Argentina;30649
Villa Angela;-275833;-607167;Argentina;30051
Coronel Suarez;-374666;-619166;Argentina;27000
Rawson;-433000;-651000;Argentina;26335
Dolores;-363300;-576900;Argentina;25190
Victoria;-326100;-601800;Argentina;25139
Lincoln;-348800;-615399;Argentina;24798
Veinticinco de Mayo;-354300;-601800;Argentina;24668
Tunuyan;-335662;-690167;Argentina;22834
Chascomus;-355662;-580166;Argentina;21054
Chilecito;-291655;-675000;Argentina;20343
Esquel;-429000;-713166;Argentina;20048
General Guemes;-246666;-650500;Argentina;19828
Zapala;-389000;-700667;Argentina;19152
Balcarce;-378333;-582500;Argentina;18967
Charata;-272163;-612000;Argentina;18297
Lobos;-351849;-590947;Argentina;18278
25 de Mayo;-378000;-676833;Argentina;17430
Eldorado;-262000;-546000;Argentina;17365
Anatuya;-284661;-628333;Argentina;14133
Mar de Ajo;-367162;-566766;Argentina;13610
Frias;-286496;-651500;Argentina;13594
Joaquin V. Gonzalez;-250833;-641834;Argentina;13376
Sunchales;-309329;-615666;Argentina;12655
Malargue;-354661;-695833;Argentina;11847
Cafayate;-260829;-659666;Argentina;11785
Rio Colorado;-389666;-640833;Argentina;11499
Cerrillos;-248996;-654833;Argentina;11498
Monte Quemado;-257996;-628666;Argentina;11387
Humahuaca;-232000;-653499;Argentina;11369
Belen;-276496;-670333;Argentina;11359
Juarez;-376655;-598000;Argentina;10609
Choele Choel;-392666;-656833;Argentina;10000
Vera;-294662;-602166;Argentina;9979
San Justo;-307829;-605833;Argentina;9607
Juan Jose Castelli;-259495;-606166;Argentina;9421
Chamical;-303496;-663167;Argentina;8989
Chos Malal;-373830;-702666;Argentina;8556
San Antonio Oeste;-407329;-649333;Argentina;8492
El Calafate;-503333;-723000;Argentina;8000
Las Lomitas;-246996;-606000;Argentina;7683
Carhue;-371829;-627333;Argentina;7190
Pedro Luro;-394833;-626833;Argentina;7100
Rinconada;-224329;-661666;Argentina;6692
Ingeniero Guillermo N. Juarez;-239000;-618500;Argentina;6453
Chepes;-313500;-666000;Argentina;6020
Ingeniero Jacobacci;-413000;-695833;Argentina;5719
28 de Noviembre;-516500;-723000;Argentina;5300
Sarmiento;-456000;-690833;Argentina;5185
Abra Pampa;-227167;-657000;Argentina;4480
Victorica;-362163;-654500;Argentina;4458
La Paz;-334661;-675500;Argentina;4400
Comandante Fontana;-253333;-596833;Argentina;4277
El Maiten;-420500;-711666;Argentina;4269
San Antonio de los Cobres;-241829;-663500;Argentina;4000
Perito Moreno;-466000;-709334;Argentina;3766
Darregueira;-376996;-631666;Argentina;3412
Puerto Deseado;-477500;-659000;Argentina;3305
General Conesa;-401000;-644333;Argentina;2958
Pampa del Infierno;-265166;-611666;Argentina;2921
Villalonga;-398829;-625833;Argentina;2838
Chumbicha;-288666;-662333;Argentina;2572
Gobernador Gregores;-487666;-702500;Argentina;2519
Uspallata;-325931;-693460;Argentina;2390
Puerto San Julian;-493000;-677167;Argentina;2347
Paso Rio Mayo;-456834;-702666;Argentina;1825
Trancas;-262167;-652833;Argentina;1599
Alto Rio Sanguer;-450333;-708333;Argentina;1548
Sierra Colorado;-405829;-678000;Argentina;1522
Villa Rumipal;-321833;-644833;Argentina;1269
Las Lajas;-385163;-703666;Argentina;1218
Los Blancos;-235996;-626000;Argentina;1145
Susques;-234167;-664833;Argentina;1093
Comallo;-410333;-702666;Argentina;741
Rodeo;-302156;-691400;Argentina;701
Tinogasta;-280666;-675666;Argentina;587
Gastre;-422830;-692333;Argentina;557
Telsen;-423996;-669500;Argentina;500
Comondante Luis Piedrabuena;-499745;-689035;Argentina;410
Yerevan;401812;445136;Armenia;1102000
Gyumri;407894;438475;Armenia;148381
Vanadzor;408128;444883;Armenia;101098
Gavarr;403589;451267;Armenia;21680
Artashat;399539;445506;Armenia;20562
Ashtarak;403017;443592;Armenia;18779
Ijevan;408756;451492;Armenia;14737
Yeghegnadzor;397611;453333;Armenia;8200
Oranjestad;125304;-700290;Aruba;68775
Sydney;-339200;1511852;Australia;4630000
Melbourne;-378200;1449750;Australia;4170000
Brisbane;-274550;1530351;Australia;1860000
Perth;-319550;1158400;Australia;1532000
Adelaide;-349350;1386000;Australia;1145000
Newcastle;-328453;1518150;Australia;1134616
Gold Coast;-280815;1534482;Australia;527660
Cranbourne;-380996;1452834;Australia;460491
Canberra;-352830;1491290;Australia;327700
Wollongong;-344154;1508900;Australia;260914
Geelong;-381675;1443956;Australia;160991
Cairns;-168878;1457633;Australia;154225
Townsville;-192500;1467700;Australia;138954
Albury;-360600;1469200;Australia;104258
Nowra;-348828;1506000;Australia;94781
Darwin;-124254;1308500;Australia;93080
Toowoomba;-275645;1519555;Australia;92800
Ballarat;-375596;1438400;Australia;85109
Bendigo;-367600;1442800;Australia;81657
Hobart;-428500;1472950;Australia;80870
Mackay;-211439;1491500;Australia;75922
Mandurah;-325235;1157471;Australia;73356
Launceston;-414498;1471302;Australia;72458
Rockhampton;-233639;1505200;Australia;65850
Coffs Harbour;-303071;1531123;Australia;62978
Wagga Wagga;-351222;1473400;Australia;55381
Bundaberg;-248791;1523509;Australia;52472
Port Macquarie;-314450;1529187;Australia;48547
Mildura;-341850;1421514;Australia;47867
Taree;-318976;1524618;Australia;44182
Orange;-332800;1491000;Australia;39329
Caloundra;-268000;1531333;Australia;38706
Tamworth;-311026;1509171;Australia;38551
Kalgoorlie;-307354;1214600;Australia;36852
Shepparton;-363746;1453914;Australia;33550
Mount Isa;-207239;1394900;Australia;33200
Tweed Heads;-281826;1535466;Australia;33065
Queanbeyan;-353546;1492113;Australia;32602
Melton;-376895;1445700;Australia;32368
Dubbo;-322600;1485973;Australia;31574
Caboolture;-270830;1529500;Australia;31513
Lismore;-288167;1532931;Australia;31430
Gladstone;-238533;1512467;Australia;30489
Warrnambool;-383800;1424700;Australia;29928
Sunbury;-375696;1447100;Australia;29925
Alice Springs;-237010;1338800;Australia;27710
Geraldton;-287666;1146000;Australia;27258
Bunbury;-333443;1156502;Australia;26998
Albany;-350169;1178916;Australia;26445
Hervey Bay;-252887;1528409;Australia;25114
Mount Gambier;-378313;1407650;Australia;23209
Armidale;-305123;1516675;Australia;22673
Whyalla;-330250;1375614;Australia;22559
Sale;-381096;1470600;Australia;22486
Katoomba;-337069;1503200;Australia;22076
Goulburn;-347496;1497102;Australia;20940
Maryborough;-255491;1527209;Australia;20678
Kwinana;-322394;1157702;Australia;20086
Burnie;-410666;1459167;Australia;19972
Echuca;-361296;1447500;Australia;19457
Devonport;-411927;1463311;Australia;19317
Roebourne;-207829;1171333;Australia;19260
Maitland;-327210;1515550;Australia;18625
Traralgon;-381996;1465300;Australia;18226
Murray Bridge;-351296;1392600;Australia;18194
Forster-Tuncurry;-321931;1525266;Australia;17591
Broken Hill;-319500;1414331;Australia;17395
Karratha;-207304;1168700;Australia;16796
Gawler;-346074;1387264;Australia;16362
Griffith;-342900;1460400;Australia;15455
Kingston;-429911;1473084;Australia;14371
Port Hedland;-203104;1186060;Australia;14288
Ballina;-288614;1535680;Australia;14242
Wangaratta;-363600;1463000;Australia;14022
Port Augusta;-324900;1377700;Australia;13897
Richmond;-335995;1507400;Australia;13880
Singleton;-325695;1511600;Australia;13813
Bongaree;-270787;1531509;Australia;13649
Port Lincoln;-347332;1358666;Australia;13630
Broome;-179618;1222308;Australia;13218
Horsham;-367096;1421900;Australia;12830
Port Pirie;-331911;1379900;Australia;12506
Warwick;-282292;1520203;Australia;12347
Kempsey;-310874;1528220;Australia;11840
Portland;-383400;1415900;Australia;11808
Gympie;-261886;1526709;Australia;11649
Muswellbrook;-322696;1508900;Australia;11630
Parkes;-331296;1481700;Australia;11137
Lithgow;-334961;1501528;Australia;11128
Bairnsdale;-378296;1476100;Australia;11005
Bowen;-200013;1482087;Australia;10983
Yeppoon;-231329;1507567;Australia;10769
Batemans Bay;-356896;1502073;Australia;10557
Kiama;-347096;1508400;Australia;10379
Busselton;-336564;1153487;Australia;10214
Innisfail;-175313;1460387;Australia;10143
Katherine;-144666;1322666;Australia;10141
Moranbah;-220016;1480380;Australia;10000
Grafton;-297120;1529377;Australia;9955
Dalby;-271939;1512657;Australia;9847
Charters Towers;-200809;1462587;Australia;9573
Emerald;-235122;1481673;Australia;9398
Swan Hill;-353396;1435400;Australia;9276
Ulladulla;-353495;1504700;Australia;9250
Colac;-383395;1435800;Australia;9089
Ayr;-195702;1473995;Australia;9078
Hamilton;-377312;1420234;Australia;8869
Kingaroy;-265390;1518406;Australia;8573
Inverell;-297668;1511126;Australia;8561
Moree;-294699;1498301;Australia;8203
Deniliquin;-355296;1449500;Australia;8024
Esperance;-338573;1218889;Australia;7888
Victor Harbor;-355596;1386173;Australia;7760
Young;-343096;1482900;Australia;7501
Carnarvon;-248998;1136501;Australia;7392
Leeton;-345449;1463973;Australia;7299
Gunnedah;-309870;1502623;Australia;7148
Narrabri;-303319;1497874;Australia;7082
Maryborough;-370496;1437300;Australia;7046
Stawell;-370596;1427600;Australia;6991
Atherton;-172703;1454694;Australia;6959
Cowra;-338296;1486800;Australia;6795
Byron Bay;-286565;1536129;Australia;6764
Tumut;-353096;1482200;Australia;6526
Cooma;-362396;1491200;Australia;6520
Merimbula;-368996;1499000;Australia;6367
Biloela;-243936;1504961;Australia;6309
Ingham;-186496;1461666;Australia;6127
Bathurst;-334196;1495700;Australia;6111
Ararat;-372795;1429100;Australia;6110
Wonthaggi;-386095;1455900;Australia;5985
Northam;-316566;1166534;Australia;5855
Kununurra;-157666;1287333;Australia;5679
Roma;-265594;1487907;Australia;5496
Mudgee;-325896;1495801;Australia;5391
Newman;-233666;1197333;Australia;5138
McMinns Lagoon;-125329;1310500;Australia;5025
Forbes;-333896;1480200;Australia;4838
Berri;-342829;1406000;Australia;4716
Cobram;-359196;1456500;Australia;4659
Scone;-320796;1508501;Australia;4624
Goondiwindi;-285548;1503253;Australia;4251
Manjimup;-342333;1161500;Australia;4240
Narrogin;-329329;1171666;Australia;4238
Smithton;-408329;1451167;Australia;4202
Proserpine;-204162;1485835;Australia;3976
Katanning;-336996;1175501;Australia;3934
Seymour;-370342;1451273;Australia;3693
Clare;-338329;1386000;Australia;3061
Central Coast;-334200;1513000;Australia;3026
Port Douglas;-164846;1454587;Australia;3000
Longreach;-234496;1442500;Australia;2894
Weipa;-126666;1418666;Australia;2830
Wallaroo;-339329;1376333;Australia;2779
Tom Price;-226935;1177931;Australia;2723
Merredin;-314828;1182667;Australia;2668
Bordertown;-363162;1407666;Australia;2583
Bourke;-301000;1459333;Australia;2475
Scottsdale;-411495;1475167;Australia;2468
Queenstown;-420829;1455500;Australia;2352
Charleville;-264000;1462500;Australia;1900
Yamba;-294230;1533533;Australia;1806
Tumby Bay;-343829;1360833;Australia;1791
Mount Barker;-346328;1176666;Australia;1781
Peterborough;-329662;1388333;Australia;1689
Wagin;-332996;1173500;Australia;1598
Ceduna;-320991;1336623;Australia;1586
Kalbarri;-276662;1141667;Australia;1537
Penola;-373830;1408167;Australia;1514
Meningie;-356995;1393333;Australia;1501
Gingin;-313496;1159000;Australia;1446
Ouyen;-350662;1423167;Australia;1400
Port Denison;-292828;1149166;Australia;1213
Halls Creek;-182667;1277667;Australia;1209
Cloncurry;-207000;1405000;Australia;1202
Winton;-223996;1430333;Australia;1157
Oatlands;-422996;1473666;Australia;1157
Ravensthorpe;-335829;1200333;Australia;1101
Exmouth;-219311;1141233;Australia;1085
Barcaldine;-235662;1452834;Australia;1068
Streaky Bay;-328119;1342149;Australia;1060
Norseman;-322000;1217666;Australia;1004
Yulara;-252405;1309889;Australia;930
Georgetown;-183000;1435333;Australia;818
Wyndham;-153740;1283601;Australia;800
Pannawonica;-216366;1163250;Australia;686
Pine Creek;-138162;1318167;Australia;665
Meekatharra;-266000;1184833;Australia;654
Kimba;-331496;1364334;Australia;636
Boulia;-228996;1399000;Australia;600
Onslow;-216576;1150963;Australia;573
Quilpie;-266166;1442500;Australia;560
Cowell;-336829;1369166;Australia;537
Andamooka;-304310;1371656;Australia;528
Eidsvold;-253662;1511333;Australia;459
Woomera;-311496;1368000;Australia;450
Wilcannia;-315662;1433833;Australia;442
Mount Magnet;-280662;1178167;Australia;424
Hughenden;-208500;1442000;Australia;421
Laverton;-286270;1224040;Australia;316
Richmond;-207163;1431333;Australia;296
Birdsville;-258996;1393666;Australia;283
Ivanhoe;-328996;1443000;Australia;265
Morawa;-292163;1160000;Australia;259
Theodore;-249495;1500833;Australia;246
Adelaide River;-132495;1311000;Australia;237
Leonara;-288815;1213280;Australia;227
Kingston South East;-368328;1398501;Australia;206
Thargomindah;-280000;1438167;Australia;203
Burketown;-177161;1395666;Australia;200
Three Springs;-295333;1157500;Australia;190
Southern Cross;-312161;1193167;Australia;187
Camooweal;-199167;1381167;Australia;187
Bicheno;-418784;1482886;Australia;177
Karumba;-174833;1408334;Australia;173
Windorah;-254332;1426502;Australia;158
Bedourie;-243496;1394666;Australia;142
Kingoonya;-308996;1353000;Australia;50
Vienna;482000;163666;Austria;2400000
Linz;483192;142888;Austria;349161
Graz;470778;154100;Austria;263234
Salzburg;478105;130400;Austria;206279
Innsbruck;472804;114100;Austria;155214
Klagenfurt;466203;143100;Austria;90610
Wiener Neustadt;478160;162500;Austria;82762
Bregenz;475167;97667;Austria;26928
Eisenstadt;478333;165333;Austria;13165
Baku;403953;498622;Azerbaijan;2122300
Ganca;406850;463500;Azerbaijan;303268
Sumqayt;405800;496300;Azerbaijan;279159
Naxcivan;392092;454122;Azerbaijan;94788
Ali Bayramli;399323;489203;Azerbaijan;70684
Saki;411923;471705;Azerbaijan;64968
Lankaran;387540;488511;Azerbaijan;60180
Stepanakert;398156;467520;Azerbaijan;57473
Yevlax;406172;471500;Azerbaijan;53716
Kapan;392015;464150;Azerbaijan;42288
Goycay;406534;477406;Azerbaijan;35348
Tovuz;409922;456289;Azerbaijan;12626
Qabala;409814;478458;Azerbaijan;11867
Gadabay;405656;458161;Azerbaijan;8657
Goranboy;406103;467897;Azerbaijan;7333
Oguz;410708;474583;Azerbaijan;6876
Nassau;250834;-773500;Bahamas, The;227940
Freeport;265333;-787000;Bahamas, The;25383
Manama;262361;505831;Bahrain;563920
Dhaka;237231;904086;Bangladesh;12797394
Chittagong;223300;918000;Bangladesh;4529000
Khulna;228400;895600;Bangladesh;1553000
Rajshahi;243750;886050;Bangladesh;810000
Comilla;234704;911700;Bangladesh;389411
Mymensingh;247504;903800;Bangladesh;330126
Rangpur;257500;892800;Bangladesh;285564
Jessore;231704;892000;Bangladesh;243987
Sylhet;249036;918736;Bangladesh;237000
Saidpur;258004;890000;Bangladesh;232209
Narayanganj;236204;905000;Bangladesh;223622
Barisal;227004;903750;Bangladesh;202242
Tangail;242500;899200;Bangladesh;180144
Jamalpur;249004;899500;Bangladesh;167900
Nawabganj;245804;883500;Bangladesh;142361
Pabna;240004;892500;Bangladesh;137888
Bridgetown;131020;-596165;Barbados;191152
Minsk;539000;275666;Belarus;1805000
Homyel;524300;310000;Belarus;480951
Mahilyow;538985;303247;Belarus;369200
Vitsyebsk;551887;301853;Belarus;342700
Hrodna;536779;238341;Belarus;317365
Brest;521000;237000;Belarus;300715
Babruysk;531266;291928;Belarus;220517
Baranavichy;531368;260134;Belarus;168772
Barysaw;542260;284922;Belarus;155389
Orsha;545153;304215;Belarus;135206
Pinsk;521279;260941;Belarus;130777
Mazyr;520460;292722;Belarus;112137
Maladzyechna;543188;268653;Belarus;101300
Lida;538885;252846;Belarus;100216
Polatsk;554894;287860;Belarus;82258
Brussels;508333;43333;Belgium;1743000
Antwerpen;512204;44150;Belgium;920000
Liege;506300;55800;Belgium;749110
Gent;510300;37000;Belgium;444336
Charleroi;504204;44500;Belgium;345367
Brugge;512204;32300;Belgium;146469
Namur;504704;48700;Belgium;106284
Mons;504460;39390;Belgium;91277
Hasselt;509640;54840;Belgium;69222
Arlon;496833;58167;Belgium;26179
Belize City;174987;-881884;Belize;63028
Orange Walk;180904;-885600;Belize;20835
El Cayo;171560;-890610;Belize;16977
Belmopan;172520;-887671;Belize;15220
Dangriga;169700;-882200;Belize;10750
Corozal;183980;-883880;Belize;8724
Punta Gorda;161003;-888100;Belize;7748
Cotonou;64000;25200;Benin;762000
Djougou;97004;16800;Benin;202810
Parakou;93400;26200;Benin;188853
Kandi;111304;29400;Benin;109701
Lokossa;66150;17150;Benin;86971
Ouidah;63604;20900;Benin;83503
Abomey;71904;19900;Benin;82154
Natitingou;103204;13900;Benin;80892
Hamilton;322942;-647839;Bermuda;52320
Thimphu;274730;896390;Bhutan;98676
Paro;273833;895167;Bhutan;15000
Wangdue Prodrang;274333;899167;Bhutan;5000
Punakha;276333;898333;Bhutan;5000
Santa Cruz;-177539;-632260;Bolivia;2102998
La Paz;-164980;-681500;Bolivia;1590000
Cochabamba;-174100;-661700;Bolivia;1000000
Oruro;-179800;-671300;Bolivia;246501
Santa Ana;-137600;-655800;Bolivia;234478
Quillacollo;-174000;-662800;Bolivia;227052
Sucre;-190410;-652595;Bolivia;224838
Potosi;-195696;-657500;Bolivia;179901
Tarija;-215167;-647500;Bolivia;159269
Montero;-173496;-632600;Bolivia;88616
Trinidad;-148334;-649000;Bolivia;84259
Riberalta;-109830;-661000;Bolivia;74014
Cobija;-110333;-687333;Bolivia;44437
Villazon;-220796;-656000;Bolivia;37215
Bermejo;-227296;-643500;Bolivia;36544
Guayaramerin;-108300;-654100;Bolivia;36008
Viacha;-166500;-683000;Bolivia;34776
Tupiza;-214396;-657200;Bolivia;28766
Llallagua;-184200;-666400;Bolivia;28069
Camiri;-200500;-635200;Bolivia;27961
Punata;-175500;-658400;Bolivia;26323
San Ignacio;-163696;-609600;Bolivia;25391
Puerto Suarez;-189496;-578500;Bolivia;22000
San Borja;-148196;-668500;Bolivia;19640
